 time            v(A0)           v(A1)           v(A2)           v(A3)           v(B0)           v(B1)           v(B2)           v(B3)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(C4)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.96027125e-08  4.05658436e-08  3.96027123e-08  4.22806136e-08  1.95209144e-08 
 1.00000000e-12  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  5.53587580e-04  3.00709118e-05  4.98108775e-05  2.09771057e-05  5.01261005e-05 
 2.00000000e-12  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  1.06347385e-03  5.25973008e-05  8.95426693e-05  3.75565113e-05  7.35100434e-05 
 4.00000000e-12  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  1.94097960e-03  8.16031594e-05  1.44326821e-04  6.06714789e-05  8.54510769e-05 
 8.00000000e-12  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  2.83198694e-03  7.17405316e-05  1.54288113e-04  6.06750549e-05  2.80890938e-05 
 1.60000000e-11  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88667049e-03  4.04793293e-06  5.51101192e-05  1.44105652e-05 -4.15044438e-05 
 3.20000000e-11  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  1.84465401e-03 -3.36771392e-05 -6.45384105e-05 -2.84743908e-05 -7.59732256e-06 
 6.40000000e-11  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00  1.15200000e+00 -5.73737654e-03 -1.24515403e-04 -3.57119640e-04 -1.46673699e-04 -2.44890915e-05 
 9.28802436e-11  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00  1.67184439e+00 -4.26039579e-02 -9.25651889e-05 -2.80531887e-04 -8.65740522e-05 -1.71862153e-04 
 1.00000000e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -4.42165142e-02  2.05270710e-04  4.17194120e-04  2.44806253e-04  1.55269613e-04 
 1.03216485e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -3.48336682e-02  3.57794057e-04  8.38944181e-04  4.38220565e-04  2.68011792e-04 
 1.09649455e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -5.79197356e-03  6.52168557e-04  1.63014557e-03  7.83874656e-04  5.76763007e-04 
 1.22515396e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.24013482e-01  7.84853461e-04  2.12029681e-03  9.24981666e-04  1.10087871e-03 
 1.46261208e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  5.11156453e-01 -8.31604834e-05  1.11102140e-04 -9.06355929e-05  1.02516402e-03 
 1.75464785e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.01728187e+00 -5.78432150e-04 -1.51358036e-03 -7.75401804e-04 -2.57083336e-03 
