 time            v(CLK)          v(A0i)          v(A1i)          v(A2i)          v(A3i)          v(A4i)          v(B0i)          v(B1i)          v(B2i)          v(B3i)          v(B4i)          v(Cini)         v(S0o)          v(S1o)          v(S2o)          v(S3o)          v(S4o)          v(Couto)       
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999998e+00  4.54959266e-08  1.79999998e+00  1.79999998e+00  4.56319319e-08 
 1.00000000e-12  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80001220e+00  1.80001214e+00  1.23538089e-05  1.80001218e+00  1.80001207e+00  1.31851910e-05 
 2.00000000e-12  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  1.80002030e+00  1.80002019e+00  2.19440349e-05  1.80002022e+00  1.80001999e+00  2.32611209e-05 
 4.00000000e-12  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  1.80002993e+00  1.80002969e+00  3.52715397e-05  1.80002969e+00  1.80002922e+00  3.69388129e-05 
 8.00000000e-12  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.80002643e+00  1.80002593e+00  3.45303265e-05  1.80002586e+00  1.80002505e+00  3.49182781e-05 
 1.60000000e-11  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  1.80000233e+00  1.80000163e+00  3.89535103e-06  1.80000167e+00  1.80000089e+00  2.22680016e-06 
 3.20000000e-11  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  1.79998170e+00  1.79998165e+00 -2.42563291e-05  1.79998191e+00  1.79998210e+00 -2.48025422e-05 
 6.04626148e-11  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.08832707e+00  1.79994753e+00  1.79994957e+00 -6.02422183e-05  1.79994871e+00  1.79995180e+00 -6.14783044e-05 
 8.87017828e-11  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.59663209e+00  1.79992028e+00  1.79992434e+00 -9.38087934e-05  1.79992087e+00  1.79992791e+00 -9.35166624e-05 
 1.00000000e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.79999173e+00  1.79999534e+00 -1.35373803e-05  1.79999341e+00  1.79999717e+00 -4.79491482e-06 
