 time            v(A0)           v(A1)           v(A2)           v(A3)           v(A4)           v(B0)           v(B1)           v(B2)           v(B3)           v(B4)           v(Cin)          v(S0)           v(S1)           v(S2)           v(S3)           v(S4)           v(Cout)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999998e+00  1.79999999e+00 
 1.00000000e-12  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80000000e-02  1.80028161e+00  1.80002134e+00  1.80001979e+00  1.80002246e+00  1.80001530e+00  1.80057370e+00 
 2.00000000e-12  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  3.60000000e-02  1.80045544e+00  1.80002809e+00  1.80002598e+00  1.80002911e+00  1.80001653e+00  1.80092483e+00 
 4.00000000e-12  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  7.20000000e-02  1.80063060e+00  1.80002472e+00  1.80002181e+00  1.80002370e+00  1.80000614e+00  1.80130054e+00 
 8.00000000e-12  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.44000000e-01  1.80043269e+00  1.79999492e+00  1.79999186e+00  1.79998868e+00  1.79998265e+00  1.80106234e+00 
 1.60000000e-11  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  2.88000000e-01  1.79988325e+00  1.79998378e+00  1.79998366e+00  1.79998198e+00  1.79999820e+00  1.80014191e+00 
 3.20000000e-11  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  5.76000000e-01  1.79974237e+00  1.80000165e+00  1.80000574e+00  1.80000811e+00  1.80000650e+00  1.79967756e+00 
 5.48475844e-11  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  9.87256519e-01  1.79940222e+00  1.79997374e+00  1.79999569e+00  1.79999564e+00  1.79999395e+00  1.79995391e+00 
 7.70882649e-11  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.38758877e+00  1.80018479e+00  1.79984712e+00  1.79990585e+00  1.79996999e+00  1.79999776e+00  1.79506257e+00 
 1.00000000e-10  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80175602e+00  1.80040630e+00  1.80014218e+00  1.80000974e+00  1.80002720e+00  1.79164212e+00 
